Unique No,Scheme Code,RTA Scheme Code,AMC Scheme Code,ISIN,AMC Code,Scheme Type,Scheme Plan,Scheme Name,Purchase Allowed,Purchase Transaction mode,Minimum Purchase Amount,Additional Purchase Amount,Maximum Purchase Amount,Purchase Amount Multiplier,Purchase Cutoff Time,Redemption Allowed,Redemption Transaction Mode,Minimum Redemption Qty,Redemption Qty Multiplier,Maximum Redemption Qty,Redemption Amount - Minimum,Redemption Amount â Maximum,Redemption Amount Multiple,Redemption Cut off Time,RTA Agent Code,AMC Active Flag,Dividend Reinvestment Flag,SIP FLAG,STP FLAG,SWP Flag,Switch FLAG,SETTLEMENT TYPE,AMC_IND,Face Value,Start Date,End Date,Exit Load Flag,Exit Load,Lock-in Period Flag,Lock-in Period,Channel Partner Code,ReOpening Date,Unnamed: 43
13894,HD57TN-GR,57TN,57TN,INF179KB1HT1,HDFCMutualFund_MF,OVERNIGHT,DIRECT,HDFC OVERNIGHT FUND DIRECT PLAN - GROWTH,Y,DP,100.0,100.0,0.0,1.0,14:30:00,Y,DP,0.001,0.001,0.0,100.0,0.0,1.0,19:00:00,CAMS,1,Z,Y,N,Y,Y,T1,,1000.0,Sep  1 2015,Sep  1 2099,N,0.0,N,0.0,H57TN,,
24507,HD57TN-GR-L0,57TN,57TN,INF179KB1HT1,HDFCMutualFund_MF,OVERNIGHT,DIRECT,HDFC OVERNIGHT FUND DIRECT PLAN - GROWTH,Y,DP,100.0,100.0,0.0,1.0,13:00:00,N,DP,0.001,0.001,0.0,100.0,0.0,1.0,19:00:00,CAMS,1,Z,Y,N,N,N,L0,,1000.0,Sep 18 2017,Sep 18 2099,N,0.0,N,0.0,H57TN,,
38398,HD57TN-GR-L0-S,57TN,57TN,INS179KB1HT1,HDFCMutualFund_MF,LIQUID,DIRECT,HDFC MULTI CAP FUND - NFO SMART SWITCH - HDFC OVERNIGHT FUND DIRECT PLAN - GROWTH,N,P,100.0,100.0,0.0,1.0,13:00:00,N,P,0.001,0.001,0.0,1.0,0.0,0.01,13:00:00,CAMS,1,Z,N,N,N,N,L0,,1000.0,Nov 23 2021,Dec  1 2021,N,0.0,N,0.0,H57TN,Dec  2 2021,
39212,HD57TN-GR-L0-S1,57TN,57TN,INS179KB1HT1,HDFCMutualFund_MF,LIQUID,DIRECT,HDFC NIFTY 100 EQUAL WEIGHT INDEX FUND - NFO SMART SWITCH - HDFC OVERNIGHT FUND DIRECT PLAN - GROWTH,N,P,100.0,100.0,0.0,1.0,13:00:00,N,P,0.001,0.001,0.0,1.0,0.0,0.01,13:00:00,CAMS,1,Z,N,N,N,N,L0,,1000.0,Feb 11 2022,Feb 17 2022,N,0.0,N,0.0,H57TN,Feb 18 2022,
39232,HD57TN-GR-L0-S2,57TN,57TN,INH179KB1HT1,HDFCMutualFund_MF,LIQUID,DIRECT,HDFC NIFTY 100 INDEX FUND - NFO SMART SWITCH - HDFC OVERNIGHT FUND DIRECT PLAN - GROWTH,N,P,100.0,100.0,0.0,1.0,13:00:00,N,P,0.001,0.001,0.0,1.0,0.0,0.01,13:00:00,CAMS,1,Z,N,N,N,N,L0,,1000.0,Feb 11 2022,Feb 17 2022,N,0.0,N,0.0,H57TN,Feb 18 2022,
38397,HD57TN-GR-S,57TN,57TN,INS179KB1HT1,HDFCMutualFund_MF,LIQUID,DIRECT,HDFC MULTI CAP FUND - NFO SMART SWITCH - HDFC OVERNIGHT FUND DIRECT PLAN - GROWTH,N,P,100.0,100.0,0.0,1.0,14:30:00,N,P,0.001,0.001,0.0,1.0,0.0,0.01,14:30:00,CAMS,1,Z,N,N,N,N,T1,,1000.0,Nov 23 2021,Dec  1 2021,N,0.0,N,0.0,H57TN,Dec  2 2021,
39211,HD57TN-GR-S1,57TN,57TN,INS179KB1HT1,HDFCMutualFund_MF,LIQUID,DIRECT,HDFC NIFTY 100 EQUAL WEIGHT INDEX FUND - NFO SMART SWITCH - HDFC OVERNIGHT FUND DIRECT PLAN - GROWTH,N,P,100.0,100.0,0.0,1.0,14:30:00,N,P,0.001,0.001,0.0,1.0,0.0,0.01,14:30:00,CAMS,1,Z,N,N,N,N,T1,,1000.0,Feb 11 2022,Feb 17 2022,N,0.0,N,0.0,H57TN,Feb 18 2022,
39231,HD57TN-GR-S2,57TN,57TN,INH179KB1HT1,HDFCMutualFund_MF,LIQUID,DIRECT,HDFC NIFTY 100 INDEX FUND - NFO SMART SWITCH - HDFC OVERNIGHT FUND DIRECT PLAN - GROWTH,N,P,100.0,100.0,0.0,1.0,14:30:00,N,P,0.001,0.001,0.0,1.0,0.0,0.01,14:30:00,CAMS,1,Z,N,N,N,N,T1,,1000.0,Feb 11 2022,Feb 17 2022,N,0.0,N,0.0,H57TN,Feb 18 2022,
28484,HD58-DP,58,58,INF179K01475,HDFCMutualFund_MF,DEBT,NORMAL,HDFC LOW DURATION FUND - RETAIL OPTION - REGULAR PLAN - WEEKLY IDCW PAYOUT,Y,P,100.0,100.0,0.0,1.0,14:30:00,Y,P,0.001,0.001,0.0,100.0,0.0,1.0,15:00:00,CAMS,1,N,Y,N,Y,Y,T1,,10.0,Oct 19 2018,Oct 19 2099,N,0.0,N,0.0,H58,,
29536,HD58-DP-L1,58,58,INF179K01475,HDFCMutualFund_MF,DEBT,NORMAL,HDFC LOW DURATION FUND - RETAIL OPTION - REGULAR PLAN - WEEKLY IDCW PAYOUT,Y,P,200000.0,200000.0,0.0,1.0,14:30:00,N,P,0.001,0.001,0.0,500.0,0.0,1.0,14:30:00,CAMS,1,N,Y,N,N,N,L1,,10.0,Oct 19 2018,Oct 19 2099,N,0.0,N,0.0,H58,,
