Unique No,Scheme Code,RTA Scheme Code,AMC Scheme Code,ISIN,AMC Code,Scheme Type,Scheme Plan,Scheme Name,Purchase Allowed,Purchase Transaction mode,Minimum Purchase Amount,Additional Purchase Amount,Maximum Purchase Amount,Purchase Amount Multiplier,Purchase Cutoff Time,Redemption Allowed,Redemption Transaction Mode,Minimum Redemption Qty,Redemption Qty Multiplier,Maximum Redemption Qty,Redemption Amount - Minimum,Redemption Amount â Maximum,Redemption Amount Multiple,Redemption Cut off Time,RTA Agent Code,AMC Active Flag,Dividend Reinvestment Flag,SIP FLAG,STP FLAG,SWP Flag,Switch FLAG,SETTLEMENT TYPE,AMC_IND,Face Value,Start Date,End Date,Exit Load Flag,Exit Load,Lock-in Period Flag,Lock-in Period,Channel Partner Code,ReOpening Date,Unnamed: 43
71,02-DP,02,02,INF209K01090,BirlaSunLifeMutualFund_MF,ELSS,NORMAL,ADITYA BIRLA SUN LIFE ELSS TAX SAVER FUND - REGULAR PLAN -IDCW PAYOUT,Y,DP,500.0,500.0,0.0,1.0,14:30:00,Y,DP,0.001,0.001,0.0,0.01,0.0,0.01,15:00:00,CAMS,1,N,Y,N,Y,Y,T2,,10.0,Jul 19 2010,Dec 31 2049,N,0.0,N,0.0,B02,,
28707,02-DP-I,02,2,INF209K01090,BirlaSunLifeMutualFund_MF,ELSS,NORMAL,ADITYA BIRLA SUN LIFE ELSS TAX SAVER FUND - REGULAR PLAN -IDCW PAYOUT-INSURED,N,DP,500.0,500.0,0.0,1.0,14:30:00,N,DP,0.001,0.001,0.0,0.01,0.0,0.01,15:00:00,CAMS,1,N,N,N,N,N,T3,,10.0,Sep 11 2018,Sep 11 2099,N,0.0,N,0.0,B02,,
3180,02-DP-L1,02,02,INF209K01090,BirlaSunLifeMutualFund_MF,ELSS,NORMAL,ADITYA BIRLA SUN LIFE ELSS TAX SAVER FUND - REGULAR PLAN -IDCW PAYOUT,Y,DP,200000.0,200000.0,0.0,1.0,14:30:00,N,DP,0.001,0.001,0.0,0.01,0.0,0.01,14:30:00,CAMS,1,N,Y,N,N,N,L1,,10.0,Jul 19 2010,Dec 31 2049,N,0.0,N,0.0,B02,,
28708,02-DP-L1-I,02,2,INF209K01090,BirlaSunLifeMutualFund_MF,ELSS,NORMAL,ADITYA BIRLA SUN LIFE ELSS TAX SAVER FUND - REGULAR PLAN -IDCW PAYOUT-INSURED,N,DP,200000.0,200000.0,0.0,1.0,14:30:00,N,DP,0.001,0.001,0.0,0.01,0.0,0.01,14:30:00,CAMS,1,N,N,N,N,N,L1,,10.0,Sep 11 2018,Sep 11 2099,N,0.0,N,0.0,B02,,
72,02G,02G,02G,INF209K01108,BirlaSunLifeMutualFund_MF,ELSS,NORMAL,ADITYA BIRLA SUN LIFE ELSS TAX SAVER FUND - REGULAR PLAN -GROWTH,Y,DP,500.0,500.0,0.0,1.0,14:30:00,Y,DP,0.001,0.001,0.0,0.01,0.0,0.01,15:00:00,CAMS,1,Z,Y,N,Y,Y,T2,,10.0,Jul 19 2010,Dec 31 2049,N,0.0,N,0.0,B02G,,
28709,02G-I,02G,02G,INF209K01108,BirlaSunLifeMutualFund_MF,ELSS,NORMAL,ADITYA BIRLA SUN LIFE ELSS TAX SAVER FUND - REGULAR PLAN -GROWTH-INSURED,N,DP,500.0,500.0,0.0,1.0,14:30:00,N,DP,0.001,0.001,0.0,0.01,0.0,0.01,15:00:00,CAMS,1,Z,N,N,N,N,T3,,10.0,Sep 11 2018,Sep 11 2099,N,0.0,N,0.0,B02G,,
3181,02G-L1,02G,02G,INF209K01108,BirlaSunLifeMutualFund_MF,ELSS,NORMAL,ADITYA BIRLA SUN LIFE ELSS TAX SAVER FUND - REGULAR PLAN -GROWTH,Y,DP,200000.0,200000.0,0.0,1.0,14:30:00,N,DP,0.001,0.001,0.0,0.01,0.0,0.01,14:30:00,CAMS,1,Z,Y,N,N,N,L1,,10.0,Jul 19 2010,Dec 31 2049,N,0.0,N,0.0,B02G,,
28710,02G-L1-I,02G,02G,INF209K01108,BirlaSunLifeMutualFund_MF,ELSS,NORMAL,ADITYA BIRLA SUN LIFE ELSS TAX SAVER FUND - REGULAR PLAN -GROWTH-INSURED,N,DP,200000.0,200000.0,0.0,1.0,14:30:00,N,DP,0.001,0.001,0.0,0.01,0.0,0.01,14:30:00,CAMS,1,Z,N,N,N,N,L1,,10.0,Sep 11 2018,Sep 11 2099,N,0.0,N,0.0,B02G,,
2495,1047D,1047D,1047D,INF209K01PW9,BirlaSunLifeMutualFund_MF,DEBT,NORMAL,ADITYA BIRLA SUN LIFE FIXED TERM PLAN SERIES EX DIVIDEND PAYOUT,N,DP,1000.0,5000.0,0.0,10.0,15:00:00,N,DP,0.001,0.001,0.0,1.0,0.0,1.0,15:00:00,CAMS,1,N,N,N,N,N,MF,,10.0,Mar 19 2012,Mar 27 2012,,0.0,,,B1047D,,
7155,1180A-DP,1180A,1180A,INF209K010W9,BirlaSunLifeMutualFund_MF,EQUITY,NORMAL,ADITYA BIRLA SUN LIFE BANKING AND FINANCIAL SERVICES FUND - REGULAR PLAN - IDCW PAYOUT,Y,DP,1000.0,1000.0,0.0,1.0,14:30:00,Y,DP,0.001,0.001,0.0,1.0,0.0,1.0,15:00:00,CAMS,1,N,Y,N,Y,Y,T2,,10.0,Nov  5 2013,Dec 31 2049,N,0.0,N,0.0,B1180A,,
28924,1180A-DP-I,1180A,1180A,INF209K010W9,BirlaSunLifeMutualFund_MF,EQUITY,NORMAL,ADITYA BIRLA SUN LIFE BANKING AND FINANCIAL SERVICES FUND - REGULAR PLAN - IDCW PAYOUT- INSURED,N,DP,1000.0,1000.0,0.0,1.0,14:30:00,N,DP,0.001,0.001,0.0,1.0,0.0,1.0,15:00:00,CAMS,1,N,N,N,N,N,T3,,10.0,Sep 11 2018,Sep 11 2099,N,0.0,N,0.0,B1180A,,
7492,1180A-DP-L1,1180A,1180A,INF209K010W9,BirlaSunLifeMutualFund_MF,EQUITY,NORMAL,ADITYA BIRLA SUN LIFE BANKING AND FINANCIAL SERVICES FUND - REGULAR PLAN - IDCW PAYOUT,Y,DP,200000.0,200000.0,0.0,1.0,14:30:00,N,DP,0.001,0.001,0.0,1.0,0.0,1.0,14:30:00,CAMS,1,N,Y,N,N,N,L1,,10.0,Dec 24 2013,Dec 31 2099,N,0.0,N,0.0,B1180A,,
28925,1180A-DP-L1-I,1180A,1180A,INF209K010W9,BirlaSunLifeMutualFund_MF,EQUITY,NORMAL,ADITYA BIRLA SUN LIFE BANKING AND FINANCIAL SERVICES FUND - REGULAR PLAN - IDCW PAYOUT- INSURED,N,DP,200000.0,200000.0,0.0,1.0,14:30:00,N,DP,0.001,0.001,0.0,1.0,0.0,1.0,14:30:00,CAMS,1,N,N,N,N,N,L1,,10.0,Sep 11 2018,Sep 11 2099,N,0.0,N,0.0,B1180A,,
6902,1180B-GR,1180B,1180B,INF209K011W7,BirlaSunLifeMutualFund_MF,EQUITY,NORMAL,ADITYA BIRLA SUN LIFE BANKING AND FINANCIAL SERVICES FUND - REGULAR PLAN - GROWTH,Y,DP,1000.0,1000.0,0.0,1.0,14:30:00,Y,DP,0.001,0.001,0.0,1.0,0.0,1.0,15:00:00,CAMS,1,Z,Y,N,Y,Y,T2,,10.0,Nov 29 2013,Dec 31 2049,N,0.0,N,0.0,B1180B,,
28926,1180B-GR-I,1180B,1180B,INF209K011W7,BirlaSunLifeMutualFund_MF,EQUITY,NORMAL,ADITYA BIRLA SUN LIFE BANKING AND FINANCIAL SERVICES FUND - REGULAR PLAN - GROWTH- INSURED,N,DP,1000.0,1000.0,0.0,1.0,14:30:00,N,DP,0.001,0.001,0.0,1.0,0.0,1.0,15:00:00,CAMS,1,Z,N,N,N,N,T3,,10.0,Sep 11 2018,Sep 11 2099,N,0.0,N,0.0,B1180B,,
7491,1180B-GR-L1,1180B,1180B,INF209K011W7,BirlaSunLifeMutualFund_MF,EQUITY,NORMAL,ADITYA BIRLA SUN LIFE BANKING AND FINANCIAL SERVICES FUND - REGULAR PLAN - GROWTH,Y,DP,200000.0,200000.0,0.0,1.0,14:30:00,N,DP,0.001,0.001,0.0,1.0,0.0,1.0,14:30:00,CAMS,1,Z,Y,N,N,N,L1,,10.0,Dec 24 2013,Dec 31 2099,,0.0,,,B1180B,,
28927,1180B-GR-L1-I,1180B,1180B,INF209K011W7,BirlaSunLifeMutualFund_MF,EQUITY,NORMAL,ADITYA BIRLA SUN LIFE BANKING AND FINANCIAL SERVICES FUND - REGULAR PLAN - GROWTH- INSURED,N,DP,200000.0,200000.0,0.0,1.0,14:30:00,N,DP,0.001,0.001,0.0,1.0,0.0,1.0,14:30:00,CAMS,1,Z,N,N,N,N,L1,,10.0,Sep 11 2018,Sep 11 2099,N,0.0,N,0.0,B1180B,,
8070,1197B-GR,1197B,1197B,INF209KA1458,BirlaSunLifeMutualFund_MF,DEBT,NORMAL,ADITYA BIRLA SUN LIFE CAPITAL PROTECTION ORIENTED FUND SERIES 18 - REGULAR GROWTH (1093 DAYS),N,DP,1000.0,5000.0,0.0,10.0,15:00:00,N,DP,0.001,0.001,0.0,1.0,0.0,1.0,15:00:00,CAMS,1,Z,N,N,N,N,MF,,10.0,Jan 21 2014,Jan 29 2014,,0.0,,,B1197B,,
8067,1203A-DP,1203A,1203A,INF209KA1649,BirlaSunLifeMutualFund_MF,DEBT,NORMAL,ADITYA BIRLA SUN LIFE FIXED TERM PLAN CORPORATE BOND SERIES B (1168 DAYS) - REGULAR PLAN - DIVIDEND PAYOUT,N,DP,1000.0,5000.0,0.0,10.0,15:00:00,N,DP,0.001,0.001,0.0,1.0,0.0,1.0,15:00:00,CAMS,1,N,N,N,N,N,MF,,10.0,Jan 21 2014,Jan 29 2014,,0.0,,,B1203A,,
8066,1203B-GR,1203B,1203B,INF209KA1631,BirlaSunLifeMutualFund_MF,DEBT,NORMAL,ADITYA BIRLA SUN LIFE FIXED TERM PLAN CORPORATE BOND SERIES B (1168 DAYS) - REGULAR PLAN - GROWTH,N,DP,1000.0,5000.0,0.0,10.0,15:00:00,N,DP,0.001,0.001,0.0,1.0,0.0,1.0,15:00:00,CAMS,1,Z,N,N,N,N,MF,,10.0,Jan 21 2014,Jan 29 2014,,0.0,,,B1203B,,
8072,1204A-DP,1204A,1204A,INF209KA1821,BirlaSunLifeMutualFund_MF,DEBT,NORMAL,ADITYA BIRLA SUN LIFE FIXED TERM PLAN SERIES JW (367 DAYS) - REGULAR PLAN - NORMAL DIVIDEND PAYOUT,N,DP,1000.0,5000.0,0.0,10.0,15:00:00,N,DP,0.001,0.001,0.0,1.0,0.0,1.0,15:00:00,CAMS,1,N,N,N,N,N,MF,,10.0,Jan 24 2014,Jan 27 2014,,0.0,,,B1204A,,
8071,1204B-GR,1204B,1204B,INF209KA1813,BirlaSunLifeMutualFund_MF,DEBT,NORMAL,ADITYA BIRLA SUN LIFE FIXED TERM PLAN SERIES JW (367 DAYS) - REGULAR PLAN - GROWTH,N,DP,1000.0,5000.0,0.0,10.0,15:00:00,N,DP,0.001,0.001,0.0,1.0,0.0,1.0,15:00:00,CAMS,1,Z,N,N,N,N,MF,,10.0,Jan 24 2014,Jan 27 2014,,0.0,,,B1204B,,
8073,1204C-DP,1204C,1204C,INF209KA1839,BirlaSunLifeMutualFund_MF,DEBT,NORMAL,ADITYA BIRLA SUN LIFE FIXED TERM PLAN SERIES JW (367 DAYS) - REGULAR PLAN - QUARTERLY DIVIDEND PAYOUT,N,DP,1000.0,5000.0,0.0,10.0,15:00:00,N,DP,0.001,0.001,0.0,1.0,0.0,1.0,15:00:00,CAMS,1,N,N,N,N,N,MF,,10.0,Jan 24 2014,Jan 27 2014,,0.0,,,B1204C,,
8075,1205A-DP,1205A,1205A,INF209KA1888,BirlaSunLifeMutualFund_MF,DEBT,NORMAL,ADITYA BIRLA SUN LIFE FIXED TERM PLAN SERIES JX (427 DAYS) - REGULAR PLAN - NORMAL DIVIDEND PAYOUT,N,DP,1000.0,5000.0,0.0,10.0,15:00:00,N,DP,0.001,0.001,0.0,1.0,0.0,1.0,15:00:00,CAMS,1,N,N,N,N,N,MF,,10.0,Jan 28 2014,Jan 30 2014,,0.0,,,B1205A,,
8074,1205B-GR,1205B,1205B,INF209KA1870,BirlaSunLifeMutualFund_MF,DEBT,NORMAL,ADITYA BIRLA SUN LIFE FIXED TERM PLAN SERIES JX (427 DAYS) - REGULAR PLAN - GROWTH,N,DP,1000.0,5000.0,0.0,10.0,15:00:00,N,DP,0.001,0.001,0.0,1.0,0.0,1.0,15:00:00,CAMS,1,Z,N,N,N,N,MF,,10.0,Jan 28 2014,Jan 30 2014,,0.0,,,B1205B,,
8076,1205C-DP,1205C,1205C,INF209KA1896,BirlaSunLifeMutualFund_MF,DEBT,NORMAL,ADITYA BIRLA SUN LIFE FIXED TERM PLAN SERIES JX (427 DAYS) - REGULAR PLAN - QUARTERLY DIVIDEND PAYOUT,N,DP,1000.0,5000.0,0.0,10.0,15:00:00,N,DP,0.001,0.001,0.0,1.0,0.0,1.0,15:00:00,CAMS,1,N,N,N,N,N,MF,,10.0,Jan 28 2014,Jan 30 2014,,0.0,,,B1205C,,
8175,1207A-DP,1207A,1207A,INF209KA1AA1,BirlaSunLifeMutualFund_MF,DEBT,NORMAL,ADITYA BIRLA SUN LIFE MUTUAL FUND FTP SR JZ(368D) REGULAR NORM DIVIDEND PAYOUT,N,DP,1000.0,5000.0,0.0,10.0,15:00:00,N,DP,0.001,0.001,0.0,1.0,0.0,1.0,15:00:00,CAMS,1,N,N,N,N,N,MF,,10.0,Feb  4 2014,Feb  6 2014,,0.0,,,B1207A,,
8174,1207B-GR,1207B,1207B,INF209KA1995,BirlaSunLifeMutualFund_MF,DEBT,NORMAL,ADITYA BIRLA SUN LIFE MUTUAL FUND FTP SR JZ(368D) REGULAR GROWTH,N,DP,1000.0,5000.0,0.0,10.0,15:00:00,N,DP,0.001,0.001,0.0,1.0,0.0,1.0,15:00:00,CAMS,1,Z,N,N,N,N,MF,,10.0,Feb  4 2014,Feb  6 2014,,0.0,,,B1207B,,
8176,1207C-DP,1207C,1207C,INF209KA1AB9,BirlaSunLifeMutualFund_MF,DEBT,NORMAL,ADITYA BIRLA SUN LIFE MUTUAL FUND FTP SR JZ(368D) REGULAR QTRLY DIVIDEND PAYOUT,N,DP,1000.0,5000.0,0.0,10.0,15:00:00,N,DP,0.001,0.001,0.0,1.0,0.0,1.0,15:00:00,CAMS,1,N,N,N,N,N,MF,,10.0,Feb  4 2014,Feb  6 2014,,0.0,,,B1207C,,
8178,1208A-DP,1208A,1208A,INF209KA1AG8,BirlaSunLifeMutualFund_MF,DEBT,NORMAL,ADITYA BIRLA SUN LIFE MUTUAL FUND FTP SR KA(415D) REGULAR NORM DIVIDEND PAYOUT,N,DP,1000.0,5000.0,0.0,10.0,15:00:00,N,DP,0.001,0.001,0.0,1.0,0.0,1.0,15:00:00,CAMS,1,N,N,N,N,N,MF,,10.0,Feb  4 2014,Feb 11 2014,,0.0,,,B1208A,,
8177,1208B-GR,1208B,1208B,INF209KA1AF0,BirlaSunLifeMutualFund_MF,DEBT,NORMAL,ADITYA BIRLA SUN LIFE MUTUAL FUND FTP SR KA(415D) REGULAR GROWTH,N,DP,1000.0,5000.0,0.0,10.0,15:00:00,N,DP,0.001,0.001,0.0,1.0,0.0,1.0,15:00:00,CAMS,1,Z,N,N,N,N,MF,,10.0,Feb  4 2014,Feb 11 2014,,0.0,,,B1208B,,
8179,1208C-DP,1208C,1208C,INF209KA1AH6,BirlaSunLifeMutualFund_MF,DEBT,NORMAL,ADITYA BIRLA SUN LIFE MUTUAL FUND FTP SR KA(415D) REGULAR QTRLY DIVIDEND PAYOUT,N,DP,1000.0,5000.0,0.0,10.0,15:00:00,N,DP,0.001,0.001,0.0,1.0,0.0,1.0,15:00:00,CAMS,1,N,N,N,N,N,MF,,10.0,Feb  4 2014,Feb 11 2014,,0.0,,,B1208C,,
8326,1210A-DP,1210A,1210A,INF209KA1AS3,BirlaSunLifeMutualFund_MF,DEBT,NORMAL,ADITYA BIRLA SUN LIFE FIXED TERM PLAN SERIES KC (368 DAYS) - REGULAR PLAN - NORMAL DIVIDEND PAYOUT,N,DP,1000.0,5000.0,0.0,10.0,15:00:00,N,DP,0.001,0.001,0.0,1.0,0.0,1.0,15:00:00,CAMS,1,N,N,N,N,N,MF,,10.0,Feb 11 2014,Feb 13 2014,,0.0,,,B1210A,,
8325,1210B-GR,1210B,1210B,INF209KA1AR5,BirlaSunLifeMutualFund_MF,DEBT,NORMAL,ADITYA BIRLA SUN LIFE FIXED TERM PLAN SERIES KC (368 DAYS) - REGULAR PLAN - GROWTH,N,DP,1000.0,5000.0,0.0,10.0,15:00:00,N,DP,0.001,0.001,0.0,1.0,0.0,1.0,15:00:00,CAMS,1,Z,N,N,N,N,MF,,10.0,Feb 11 2014,Feb 13 2014,,0.0,,,B1210B,,
8327,1210C-DP,1210C,1210C,INF209KA1AT1,BirlaSunLifeMutualFund_MF,DEBT,NORMAL,ADITYA BIRLA SUN LIFE FIXED TERM PLAN SERIES KC (368 DAYS) - REGULAR PLAN - QUARTERLY DIVIDEND PAYOUT,N,DP,1000.0,5000.0,0.0,10.0,15:00:00,N,DP,0.001,0.001,0.0,1.0,0.0,1.0,15:00:00,CAMS,1,N,N,N,N,N,MF,,10.0,Feb 11 2014,Feb 13 2014,,0.0,,,B1210C,,
8355,1211A-DP,1211A,1211A,INF209KA1AY1,BirlaSunLifeMutualFund_MF,DEBT,NORMAL,ADITYA BIRLA SUN LIFE FIXED TERM PLAN SERIES KE (412 DAYS) - REGULAR PLAN - NORMAL DIVIDEND PAYOUT,N,DP,1000.0,5000.0,0.0,10.0,15:00:00,N,DP,0.001,0.001,0.0,1.0,0.0,1.0,15:00:00,CAMS,1,N,N,N,N,N,MF,,10.0,Feb 12 2014,Feb 18 2014,,0.0,,,B1211A,,
8354,1211B-GR,1211B,1211B,INF209KA1AX3,BirlaSunLifeMutualFund_MF,DEBT,NORMAL,ADITYA BIRLA SUN LIFE FIXED TERM PLAN SERIES KE (412 DAYS) - REGULAR PLAN - GROWTH,N,DP,1000.0,5000.0,0.0,10.0,15:00:00,N,DP,0.001,0.001,0.0,1.0,0.0,1.0,15:00:00,CAMS,1,Z,N,N,N,N,MF,,10.0,Feb 12 2014,Feb 18 2014,,0.0,,,B1211B,,
8356,1211C-DP,1211C,1211C,INF209KA1AZ8,BirlaSunLifeMutualFund_MF,DEBT,NORMAL,ADITYA BIRLA SUN LIFE FIXED TERM PLAN SERIES KE (412 DAYS) - REGULAR PLAN - QUARTERLY DIVIDEND PAYOUT,N,DP,1000.0,5000.0,0.0,10.0,15:00:00,N,DP,0.001,0.001,0.0,1.0,0.0,1.0,15:00:00,CAMS,1,N,N,N,N,N,MF,,10.0,Feb 12 2014,Feb 18 2014,,0.0,,,B1211C,,
8404,1212A-GR,1212A,1212A,INF209KA1BE1,BirlaSunLifeMutualFund_MF,DEBT,NORMAL,ADITYA BIRLA SUN LIFE FIXED TERM PLAN - SERIES KD (367 DAYS)-REGULAR PLAN - NORMAL DIVIDEND PAYOUT OPTION,N,DP,1000.0,5000.0,0.0,10.0,15:00:00,N,DP,0.001,0.001,0.0,1.0,0.0,1.0,15:00:00,CAMS,1,Z,N,N,N,N,MF,,10.0,Feb 14 2014,Feb 17 2014,,0.0,,,B1212A,,
8405,1212B-DP,1212B,1212B,INF209KA1BD3,BirlaSunLifeMutualFund_MF,DEBT,NORMAL,ADITYA BIRLA SUN LIFE FIXED TERM PLAN - SERIES KD (367 DAYS)- REGULAR PLAN - PAYOUT OPTION,N,DP,1000.0,5000.0,0.0,10.0,15:00:00,N,DP,0.001,0.001,0.0,1.0,0.0,1.0,15:00:00,CAMS,1,N,N,N,N,N,MF,,10.0,Feb 14 2014,Feb 17 2014,,0.0,,,B1212B,,
8406,1212C-DP,1212C,1212C,INF209KA1BF8,BirlaSunLifeMutualFund_MF,DEBT,NORMAL,ADITYA BIRLA SUN LIFE FIXED TERM PLAN - SERIES KD (367 DAYS)-REGULAR PLAN - QUARTERLY DIVIDEND PAYOUT OPTION,N,DP,1000.0,5000.0,0.0,10.0,15:00:00,N,DP,0.001,0.001,0.0,1.0,0.0,1.0,15:00:00,CAMS,1,N,N,N,N,N,MF,,10.0,Feb 14 2014,Feb 17 2014,,0.0,,,B1212C,,
8419,1213A-DP,1213A,1213A,INF209KA1BM4,BirlaSunLifeMutualFund_MF,DEBT,NORMAL,ADITYA BIRLA SUN LIFE FIXED TERM PLAN SERIES KF (368 DAYS)-REGULAR PLAN-NORMAL DIVIDEND PAYOUT,N,DP,1000.0,5000.0,0.0,10.0,15:00:00,N,DP,0.001,0.001,0.0,1.0,0.0,1.0,15:00:00,CAMS,1,N,N,N,N,N,MF,,10.0,Feb 18 2014,Feb 20 2014,,0.0,,,B1213A,,
8418,1213B-GR,1213B,1213B,INF209KA1BL6,BirlaSunLifeMutualFund_MF,DEBT,NORMAL,ADITYA BIRLA SUN LIFE FIXED TERM PLAN SERIES KF (368 DAYS)-REGULAR PLAN-GROWTH,N,DP,1000.0,5000.0,0.0,10.0,15:00:00,N,DP,0.001,0.001,0.0,1.0,0.0,1.0,15:00:00,CAMS,1,Z,N,N,N,N,MF,,10.0,Feb 18 2014,Feb 20 2014,,0.0,,,B1213B,,
8420,1213C-DP,1213C,1213C,INF209KA1BN2,BirlaSunLifeMutualFund_MF,DEBT,NORMAL,ADITYA BIRLA SUN LIFE FIXED TERM PLAN SERIES KF (368 DAYS)-REGULAR PLAN-QUARTERLY DIVIDEND PAYOUT,N,DP,1000.0,5000.0,0.0,10.0,15:00:00,N,DP,0.001,0.001,0.0,1.0,0.0,1.0,15:00:00,CAMS,1,N,N,N,N,N,MF,,10.0,Feb 18 2014,Feb 20 2014,,0.0,,,B1213C,,
8422,1214A-DP,1214A,1214A,INF209KA1BS1,BirlaSunLifeMutualFund_MF,DEBT,NORMAL,ADITYA BIRLA SUN LIFE FIXED TERM PLAN SERIES KG (367 DAYS)-REGULAR PLAN-NORMAL DIVIDEND PAYOUT,N,DP,1000.0,5000.0,0.0,10.0,15:00:00,N,DP,0.001,0.001,0.0,1.0,0.0,1.0,15:00:00,CAMS,1,N,N,N,N,N,MF,,10.0,Feb 20 2014,Feb 24 2014,,0.0,,,B1214A,,
8421,1214B-GR,1214B,1214B,INF209KA1BR3,BirlaSunLifeMutualFund_MF,DEBT,NORMAL,ADITYA BIRLA SUN LIFE FIXED TERM PLAN SERIES KG (367 DAYS)-REGULAR PLAN-GROWTH,N,DP,1000.0,5000.0,0.0,10.0,15:00:00,N,DP,0.001,0.001,0.0,1.0,0.0,1.0,15:00:00,CAMS,1,Z,N,N,N,N,MF,,10.0,Feb 20 2014,Feb 24 2014,,0.0,,,B1214B,,
8423,1214C-DP,1214C,1214C,INF209KA1BT9,BirlaSunLifeMutualFund_MF,DEBT,NORMAL,ADITYA BIRLA SUN LIFE FIXED TERM PLAN SERIES KG (367 DAYS)-REGULAR PLAN-QUARTERLY DIVIDEND PAYOUT,N,DP,1000.0,5000.0,0.0,10.0,15:00:00,N,DP,0.001,0.001,0.0,1.0,0.0,1.0,15:00:00,CAMS,1,N,N,N,N,N,MF,,10.0,Feb 20 2014,Feb 24 2014,,0.0,,,B1214C,,
8425,1215A-DP,1215A,1215A,INF209KA1BY9,BirlaSunLifeMutualFund_MF,DEBT,NORMAL,ADITYA BIRLA SUN LIFE FIXED TERM PLAN SERIES KH (406 DAYS)-REGULAR PLAN-NORMAL DIVIDEND PAYOUT,N,DP,1000.0,5000.0,0.0,10.0,15:00:00,N,DP,0.001,0.001,0.0,1.0,0.0,1.0,15:00:00,CAMS,1,N,N,N,N,N,MF,,10.0,Feb 20 2014,Feb 25 2014,,0.0,,,B1215A,,
8424,1215B-GR,1215B,1215B,INF209KA1BX1,BirlaSunLifeMutualFund_MF,DEBT,NORMAL,ADITYA BIRLA SUN LIFE FIXED TERM PLAN SERIES KH (406 DAYS)-REGULAR PLAN-GROWTH,N,DP,1000.0,5000.0,0.0,10.0,15:00:00,N,DP,0.001,0.001,0.0,1.0,0.0,1.0,15:00:00,CAMS,1,Z,N,N,N,N,MF,,10.0,Feb 20 2014,Feb 25 2014,,0.0,,,B1215B,,
8426,1215C-DP,1215C,1215C,INF209KA1BZ6,BirlaSunLifeMutualFund_MF,DEBT,NORMAL,ADITYA BIRLA SUN LIFE FIXED TERM PLAN SERIES KH (406 DAYS)-REGULAR PLAN-QUARTERLY DIVIDEND PAYOUT,N,DP,1000.0,5000.0,0.0,10.0,15:00:00,N,DP,0.001,0.001,0.0,1.0,0.0,1.0,15:00:00,CAMS,1,N,N,N,N,N,MF,,10.0,Feb 20 2014,Feb 25 2014,,0.0,,,B1215C,,
8417,1216B-GR,1216B,1216B,INF209KA1BK8,BirlaSunLifeMutualFund_MF,EQUITY,NORMAL,ADITYA BIRLA SUN LIFE CAPITAL PROTECTION ORIENTED FUND - SERIES 19-REGULAR PLAN - GROWTH OPTION,N,DP,1000.0,5000.0,0.0,10.0,15:00:00,N,DP,0.001,0.001,0.0,1.0,0.0,1.0,15:00:00,CAMS,1,Z,N,N,N,N,MF,,10.0,Feb 17 2014,Mar  3 2014,,0.0,,,B1216B,,
8491,1217A-DP,1217A,1217A,INF209KA1CE9,BirlaSunLifeMutualFund_MF,DEBT,NORMAL,ADITYA BIRLA SUN LIFE FIXED TERM PLAN SERIES KI (368 DAYS)-REGULAR PLAN-NORMAL DIVIDEND PAYOUT,N,DP,1000.0,5000.0,0.0,10.0,15:00:00,N,DP,0.001,0.001,0.0,1.0,0.0,1.0,15:00:00,CAMS,1,N,N,N,N,N,MF,,10.0,Feb 25 2014,Feb 26 2014,,0.0,,,B1217A,,
8490,1217B-GR,1217B,1217B,INF209KA1CD1,BirlaSunLifeMutualFund_MF,DEBT,NORMAL,ADITYA BIRLA SUN LIFE FIXED TERM PLAN SERIES KI (368 DAYS)-REGULAR PLAN-GROWTH,N,DP,1000.0,5000.0,0.0,10.0,15:00:00,N,DP,0.001,0.001,0.0,1.0,0.0,1.0,15:00:00,CAMS,1,Z,N,N,N,N,MF,,10.0,Feb 25 2014,Feb 26 2014,,0.0,,,B1217B,,
8492,1217C-DP,1217C,1217C,INF209KA1CF6,BirlaSunLifeMutualFund_MF,DEBT,NORMAL,ADITYA BIRLA SUN LIFE FIXED TERM PLAN SERIES KI (368 DAYS)-REGULAR PLAN-QUARTERLY DIVIDEND PAYOUT,N,DP,1000.0,5000.0,0.0,10.0,15:00:00,N,DP,0.001,0.001,0.0,1.0,0.0,1.0,15:00:00,CAMS,1,N,N,N,N,N,MF,,10.0,Feb 25 2014,Feb 26 2014,,0.0,,,B1217C,,
8494,1218A-DP,1218A,1218A,INF209KA1CK6,BirlaSunLifeMutualFund_MF,DEBT,NORMAL,ADITYA BIRLA SUN LIFE FIXED TERM PLAN SERIES KJ (400 DAYS)-REGULAR PLAN-NORMAL DIVIDEND PAYOUT,N,DP,1000.0,5000.0,0.0,10.0,15:00:00,N,DP,0.001,0.001,0.0,1.0,0.0,1.0,15:00:00,CAMS,1,N,N,N,N,N,MF,,10.0,Feb 25 2014,Mar  4 2014,,0.0,,,B1218A,,
8493,1218B-GR,1218B,1218B,INF209KA1CJ8,BirlaSunLifeMutualFund_MF,DEBT,NORMAL,ADITYA BIRLA SUN LIFE FIXED TERM PLAN SERIES KJ (400 DAYS)-REGULAR PLAN-GROWTH,N,DP,1000.0,5000.0,0.0,10.0,15:00:00,N,DP,0.001,0.001,0.0,1.0,0.0,1.0,15:00:00,CAMS,1,Z,N,N,N,N,MF,,10.0,Feb 25 2014,Mar  4 2014,,0.0,,,B1218B,,
